1,A Dijiang,1
2,A Lamusi,1
3,Gunnar Nielsen Aaby,2
4,Edgar Lindenau Aabye,3
5,Christine Jacoba Aaftink,4
6,Per Knut Aaland,5
7,John Aalberg,5
8,"Cornelia ""Cor"" Aalten (-Strannood)",4
9,Antti Sami Aalto,6
10,"Einar Ferdinand ""Einari"" Aalto",6
11,Jorma Ilmari Aalto,6
12,Jyri Tapani Aalto,6
13,Minna Maarit Aalto,6
14,Pirjo Hannele Aalto (Mattila-),6
15,Arvo Ossian Aaltonen,6
16,Juhamatti Tapio Aaltonen,6
17,Paavo Johannes Aaltonen,6
18,Timo Antero Aaltonen,6
19,Win Valdemar Aaltonen,6
20,Kjetil Andr Aamodt,7
21,Ragnhild Margrethe Aamodt,7
22,Andreea Aanei,8
23,Fritz Aanes,7
24,Nils Egil Aaness,7
25,Alf Lied Aanning,7
26,Agnes Erika Aanonsen (-Eyde),7
27,Johan Aantjes,4
28,Jan-Erik Aarberg,7
29,Willemien Aardenburg,4
30,Pepijn Aardewijn,4
31,Evald rma (rman-),9
32,Olav Augunson Aarnes,7
33,Mika Lauri Aarnikka,6
34,Jamale (Djamel-) Aarrass (Ahrass-),10
35,Dagfinn Sverre Aarskog,7
36,Stefan Remco Aartsen,4
37,Ann Kristin Aarnes,7
38,Karl Jan Aas,7
39,Lars Thorlaksn Aas,7
40,Roald Edgar Aas,7
41,Rolf Aas,7
42,Thomas Valentin Aas,11
43,Morten Gjerdrum Aasen,7
44,Meelis Aasme,9
45,Hakon Aasns,7
46,Hans Aasns,7
47,Erling Rudolf Aastad,7
48,Abdelhak Aatakni,12
49,Moonika Aava,9
50,Arvi Aavik,9
51,Nstor Abad Sanjun,13
52,Patrick Abada,10
53,Talaat Abada,14
54,Mohamed Jamshid Abadi,15
55,Antonio Abadia Beci,13
56,Ren Abadie,10
57,Borislav Abadzhiev,16
58,Georgi Abadzhiev,16
59,Ivan Nikolov Abadzhiev,16
60,Mikhail Abadzhiev,16
61,Stefan Abadzhiev,16
62,Giovanni Abagnale,17
63,Jos Luis Abajo Gmez,13
64,M'Bairo Abakar,18
65,Patimat Abakarova,19
66,Mohamed Abakkar,20
67,Mariya Vasilyevna Abakumova (-Tarabina),21
68,Pablo Martn Abal,22
69,Tamara Abalde Daz,13
70,Jess Iory Aball Martnez,23
71,Juan Antonio Aball Delgado,23
72,Aleksey Aleksandrovich Abalmasov,24
73,Luc Abalo,10
74,Mara Laura Abalo,22
75,Giorgos Abalof,25
76,Jouan Patrice Abanda Etong,26
77,Antoine Abang,26
78,Salim Abanoz,27
79,Carlos Abarca Gonzlez,28
80,Jos Mara Abarca Plotas,13
81,Georgios Abaris,25
82,Enrique Abaroa Martnez,29
83,Carlos Arturo Abarza Chavez,28
84,Stephen Anthony Abas,5
85,Alejandro Abascal Garca,13
86,Jos Manuel Abascal Gmez,13
87,Rost'om Omeris dze Abashidze,30
88,Nunu Dzhansuhivna Abashydze (-Myslaieva),30
89,Rodrigo Abasolo,28
90,Tamila Rashidovna Abasova,21
91,Emanuele Abate,17
92,Ignazio Abate,17
93,Jol Marc Abati,10
94,Ral Abatte,28
95,Georgia Abatzidou,25
96,Carlos Rodolfo Abaunza Balladares,31
97,Carlos Alberto Abaunza,31
98,Hctor Abaunza,29
99,Pter Abay,32
100,Oszkr Abay-Nemes,32
