1,China,42
2,Denmark,56
3,Denmark/Sweden,56
4,Netherlands,146
5,United States,217
6,Finland,69
7,Norway,151
8,Romania,170
9,Estonia,65
10,France,70
11,Taifun,151
12,Morocco,126
13,Spain,64
14,Egypt,61
15,Iran,95
16,Bulgaria,33
17,Italy,101
18,Chad,40
19,Azerbaijan,15
20,Sudan,190
21,Russia,172
22,Argentina,9
23,Cuba,53
24,Belarus,26
25,Greece,82
26,Cameroon,44
27,Turkey,208
28,Chile,41
29,Mexico,131
30,Soviet Union,215
31,Nicaragua,145
32,Hungary,91
33,Nigeria,149
34,Algeria,4
35,Kuwait,113
36,Bahrain,31
37,Pakistan,155
38,Iraq,97
39,United Arab Republic,211
40,Lebanon,120
41,Qatar,167
42,Malaysia,127
43,Germany,80
44,Thessalonki-1,82
45,Canada,37
46,Ireland,96
47,Australia,13
48,South Africa,171
49,Eritrea,62
50,Tanzania,197
51,Jordan,104
52,Tunisia,207
53,Libya,116
54,Belgium,20
55,Djibouti,57
56,Palestine,160
57,Comoros,48
58,Kazakhstan,106
59,Brunei,32
60,India,93
61,Saudi Arabia,112
62,Syria,196
63,Maldives,130
64,Ethiopia,66
65,United Arab Emirates,210
66,North Yemen,225
67,Indonesia,92
68,Philippines,159
69,Uzbekistan,218
70,Kyrgyzstan,108
71,Tajikistan,201
72,Unified Team,67
73,Japan,105
74,Japan-1,105
75,Congo (Brazzaville),39
76,Switzerland,191
77,Brazil,30
78,West Germany,71
79,East Germany,77
80,Monaco,138
81,Fornebo,151
82,Israel,99
83,Vesper Boat Club,217
84,Uruguay,216
85,Sweden,194
86,United States Virgin Islands,100
87,Sri Lanka,187
88,Armenia,10
89,Cote d'Ivoire,43
90,Kenya,107
91,Benin,21
92,France-1,70
93,Ukraine,213
94,Great Britain,75
95,Ghana,81
96,Somalia,185
97,Latvia,115
98,Niger,150
99,Mali,135
100,Afghanistan,1
101,Poland,163
102,Costa Rica,50
103,Panama,156
104,Georgia,78
105,Slovenia,182
106,Croatia,51
107,Russia-2,172
108,Russia-1,172
109,Guyana,87
110,New Zealand,153
111,Portugal,164
112,Paraguay,157
113,Angola,6
114,Venezuela,220
115,Colombia,47
116,Bangladesh,17
117,Peru,158
118,El Salvador,63
119,Puerto Rico,166
120,France-2,70
121,Uganda,212
122,Switzerland-2,191
123,Switzerland-1,191
124,Honduras,90
125,Ecuador,60
126,Turkmenistan,202
127,Mauritius,140
128,Seychelles,178
129,Czechoslovakia,198
130,Great Britain-1,75
131,Luxembourg,123
132,Mauritania,141
133,Czech Republic,55
134,Saint Kitts and Nevis,180
135,New York Athletic Club #2-4,217
136,Trinidad and Tobago,206
137,Dominican Republic,59
138,Saint Vincent and the Grenadines,222
139,Mystery,217
140,Jamaica,103
141,Liberia,117
142,Suriname,192
143,Nigeria-2,149
144,Nepal,147
145,Mongolia,132
146,Germany-2,80
147,Austria,14
148,Clementine V,30
149,Bylina-2,172
150,Palau,161
151,Lithuania,122
152,Togo,204
153,Namibia,143
154,Netherlands Antilles,2
155,Iceland,98
156,American Samoa,12
157,Samoa,175
158,Rwanda,173
159,Dominica,58
160,Great Britain-2,75
161,Haiti,88
162,Stella-2,151
163,Malta,136
164,United States-1,217
165,United States-2,217
166,Argentina-2,9
167,"Large boat, Central Naval Prep School ""Poros""-1",82
168,Cyprus,54
169,Guinea,85
170,Xolotl,131
171,Belize,25
172,Matrero II,9
173,Blue Red,9
174,Gteborgs Roddklubb-1,194
175,Indonesia-1,92
176,Germany-1,80
177,South Yemen,227
178,South Korea,110
179,Lucky Girl-1,69
180,Mutafo,80
181,Sweden-2,194
182,Sweden-1,194
183,Thailand,200
184,Italy-2,101
185,Yeoman VII,75
186,Yeoman XII,75
187,Bermuda,22
188,Australasia,8
189,Union des Socits Franais de Sports Athletiques,70
190,Serbia and Montenegro,176
191,Sierra Leone,181
192,Bissbi,194
193,Papua New Guinea,162
194,Greece-3,82
195,Yemen,226
196,Individual Olympic Athletes,94
197,Oman,154
198,Fiji,68
199,Vanuatu,219
200,France-3,70
201,Martha-27,70
202,Martha-1,70
203,Moldova,129
204,Canada-2,37
205,Canada-1,37
206,Yugoslavia,228
207,Bahamas,16
208,Guatemala,84
209,Burevestnik,215
210,Druzhba,215
211,Soviet Union-2,215
212,Soviet Union-1,215
213,Olen,215
214,Serbia,186
215,British Virgin Islands,102
216,Mozambique,139
217,Heatherbell,69
218,Central African Republic,35
219,Madagascar,124
220,Malaya,125
221,Socit Nautique de Bayonne,70
222,Bosnia and Herzegovina,24
223,Guam,86
224,Brazil-1,30
225,Cayman Islands,38
226,Cupidon Viking,70
227,Damoiselle,70
228,Slovakia,193
229,USFSA,70
230,The Cloud,96
231,Galerna,64
232,Heira II,151
233,Nykjbings paa Falster,56
234,Barbados,18
235,Ireland-2,75
236,Spain-2,64
237,Guinea Bissau,76
238,Mohawk Indians-2,37
239,Tornado,194
240,Elsie,194
241,Roma,101
242,Tajamar,64
243,Spain-1,64
244,"Lemzos Thorichton ""Spetsai""-4",82
245,Norway-2,151
246,Norway-1,151
247,Italy-1,101
248,Puerto Rico-2,166
249,Mound City Rowing Club-2,217
250,Timor Leste,203
251,Amolgavar,64
252,Congo (Kinshasa),45
253,Gabon,73
254,Ali-Baba II,194
255,May Be VII,194
256,East Germany-1,77
257,San Marino,183
258,Favorite Hammonia-3,80
259,Laos,114
260,Botswana,29
261,Refugee Olympic Athletes,169
262,Frankfurt Club,80
263,Lett,151
264,GyoshuII,36
265,North Korea,165
266,South Korea-2,110
267,Brazil-2,30
268,Solomon Islands,184
269,Dolfijn,20
270,Senegal,177
271,Cape Verde,49
272,Tip,56
273,Yugoslavia-1,228
274,rn-2,69
275,Crete,52
276,Breslau,14
277,Germany-3,80
278,Romania-2,170
279,Club Nautique de Dieppe-5,70
280,Norna,151
281,Fram,151
282,Magda IX,151
283,Soviet Union-3,215
284,Equatorial Guinea,79
285,Bolivia,28
286,Saar,174
287,Andorra,5
288,Japan-2,105
289,Austria-1,14
290,Austria-2,14
291,Antigua and Barbuda,7
292,EA II,70
293,Canada-3,37
294,Czechoslovakia-3,198
295,Linglom,200
296,Denmark-2,56
297,Mosk II,151
298,Latvia-2,115
299,Elisabeth X,151
300,Sweden-3,194
301,Ludwigshafener Ruderverein,80
302,Australia-2,13
303,Latvia-1,115
304,Guyoni,70
305,Greece-1,82
306,Greece-2,82
307,West Germany-2,71
308,"La Salle Turnverein, Chicago",217
309,Gallant,217
310,Zimbabwe,230
311,Grenada,83
312,Hera-1,75
313,Swedish Star,194
314,Bulgaria-1,33
315,Nautikos Omilos-3,82
316,Wolseley-Siddeley-1,75
317,Hong Kong,89
318,Ciocca II,101
319,Mirtala,101
320,Saint Lucia,118
321,Carabinier-5,70
322,Pettit-Poucet-6,70
323,Carabinier-15,70
324,Federated States of Micronesia,72
325,Myanmar,142
326,Hirondelle,138
327,Kerstin-1,194
328,Evita VI,14
329,Ukraine-2,213
330,Russia-3,172
331,Malawi,128
332,Belarus-1,26
333,United States-3,217
334,Bronia,80
335,Zambia,229
336,Denmark-1,56
337,Bluebottle,75
338,West Germany-1,71
339,Rhodesia,168
340,East Germany-2,77
341,Snap,56
342,Chinese Taipei-1,205
343,Sao Tome and Principe,189
344,Toronto Argonauts,37
345,England-1,75
346,Hungaria Evezos Egylet,91
347,Poland-1,163
348,Macedonia,134
349,Bohemia,27
350,Argonaut Rowing Club,37
351,"Life boat naval ship ""Spetsai""-1",82
352,Australia-1,13
353,Tonga,199
354,Nigeria-1,149
355,Fortuna,75
356,Starlight III,75
357,Liechtenstein,121
358,Pan,151
359,Montenegro,137
360,Leander Club-2,75
361,"Lemzos Thorichton ""Psara""-3",82
362,London City Police-1,75
363,Great Britain-3,75
364,Sabre,75
365,Firebird II,206
366,Berliner Ruderverein von 1876-2,80
367,Christian Brothers' College-1,217
368,Czechoslovakia-1,198
369,Czechoslovakia-2,198
370,"Passaic Turnverein, Passaic",217
371,Primorka,228
372,Gambia,74
373,Racing Club de France,70
374,Grifo III,164
375,Grifo IV,164
376,Bingo,217
377,Damoiselle IV,138
378,Crabe II-12,70
379,Nina Claire-30,70
380,Crabe II-1,70
381,Crabe II-4,70
382,Nina Claire-2,70
383,Qu'Importe,70
384,Konstanz,228
385,Suzy-2,20
386,Mouchette-2,75
387,Dansk Idrts Forbund,56
388,Marmara,208
389,Moseley Wanderers,75
390,Chicago Athletic Association-2,217
391,Devon and Somerset Wanderers,75
392,Unified Team-2,67
393,Mistral Hojris,75
394,Cook Islands,46
395,Mauritius-2,140
396,Albania,3
397,Romania-1,170
398,Pampero,9
399,Israel-2,99
400,Symphony,164
401,Sjhxa,164
402,Faneca,164
403,Ciocca III,164
404,"Marinai della nave da guerra ""Varese""",101
405,Lalage,75
406,Gallia II,172
407,Dinah V,80
408,Czech Republic-2,55
409,Nora,151
410,Monica,151
411,Kullan,194
412,Shoveller,171
413,Amateur Athletic Association,75
414,Circus,224
415,Aletta,96
416,Widgeon,217
417,Inca,30
418,Czech Republic-1,55
419,Relampago,13
420,Foxhunters Hurlingham,75
