artist_ID,average tempo, average duration,average danceability
1,114.13,267072.0,0.47
2,103.04,287280.0,0.44
3,77.38,328920.0,0.35
4,88.67,262891.0,0.43
5,122.84,270436.1,0.47
6,122.52,218504.5,0.48
7,134.82,135533.0,0.64
8,132.79,175693.0,0.73
9,132.88,218353.0,0.65
10,141.95,160171.0,0.73
11,90.73,146886.3,0.83
12,126.68,141519.0,0.88
13,100.05,130375.0,0.92
14,117.68,149915.3,0.78
15,171.17,387293.7,0.55
16,95.09,208493.7,0.63
17,103.08,255213.5,0.56
18,89.49,311837.0,0.41
19,88.0,361440.0,0.73
20,99.4,221832.0,0.46
21,130.42,193085.6,0.53
22,110.92,261253.3,0.59
23,116.97,234698.5,0.6
24,107.06,236644.0,0.51
25,171.03,192787.0,0.42
26,136.03,451765.0,0.88
27,144.65,273624.0,0.26
28,120.09,228206.0,0.54
29,123.01,326632.0,0.7
30,112.89,234111.1,0.62
31,83.9,244528.8,0.64
32,121.93,398106.0,0.7
33,136.58,277307.0,0.79
34,145.14,213866.7,0.45
35,115.61,235077.5,0.59
36,132.45,53000.0,0.68
37,108.33,128980.4,0.63
38,103.52,191426.2,0.27
39,128.13,252027.0,0.67
40,120.38,291628.2,0.56
41,114.97,182373.0,0.93
42,115.96,267593.2,0.69
43,127.99,270350.0,0.8
44,130.69,188373.0,0.56
45,126.06,201327.0,0.36
46,150.47,148827.5,0.53
47,117.61,59520.0,0.68
48,122.83,454772.2,0.75
49,97.4,193206.5,0.59
50,120.94,113493.0,0.74
51,129.99,434027.0,0.8
52,128.5,140750.0,0.76
53,123.96,198440.7,0.75
54,129.0,172118.7,0.58
55,123.1,253227.0,0.56
56,121.8,274628.0,0.68
57,128.02,344067.0,0.74
58,134.01,263163.0,0.7
59,125.71,251314.8,0.78
60,96.01,183554.0,0.59
61,120.11,93600.0,0.81
62,126.08,338533.0,0.91
63,122.82,244133.0,0.78
64,126.9,242195.7,0.88
65,134.07,274053.0,0.53
66,130.97,228208.0,0.7
67,102.34,1428097.0,0.79
68,112.92,162211.0,0.65
69,127.01,235719.7,0.88
70,117.85,403467.0,0.85
71,133.57,257733.0,0.46
72,86.07,206500.0,0.45
73,125.56,401533.5,0.67
74,185.64,238053.0,0.24
75,116.05,261773.2,0.23
76,102.41,190840.0,0.41
77,139.94,346653.0,0.35
78,159.01,312737.4,0.22
79,92.54,174000.0,0.61
80,97.2,285170.0,0.43
81,119.75,233000.0,0.58
82,79.5,248000.0,0.42
83,124.75,215792.3,0.52
84,68.16,325000.0,0.15
85,83.91,180000.0,0.43
86,102.36,158227.0,0.3
87,153.01,203867.0,0.73
88,83.27,436907.0,0.15
89,61.94,225000.0,0.2
90,127.94,225360.0,0.69
91,80.11,235973.0,0.37
92,118.02,180000.0,0.63
93,110.25,268311.0,0.32
94,142.66,392337.7,0.68
95,130.0,389677.0,0.8
96,109.96,189453.0,0.5
97,136.01,467647.0,0.71
98,124.0,419200.0,0.81
99,100.02,101480.3,0.35
100,125.87,218541.7,0.79
101,139.62,278082.0,0.79
102,140.14,192000.0,0.54
103,129.35,157811.4,0.71
104,76.39,155893.0,0.51
105,169.66,192000.0,0.43
106,147.96,283000.0,0.59
107,135.04,214680.0,0.76
108,92.53,240000.0,0.71
109,126.7,105600.0,0.69
110,134.49,397431.0,0.63
111,128.0,208731.0,0.82
112,107.65,262555.0,0.78
113,119.98,226302.0,0.6
114,132.04,72720.0,0.5
115,125.0,436151.0,0.8
116,125.98,308310.5,0.83
117,89.17,169067.0,0.43
118,130.07,247060.0,0.52
119,101.01,243436.3,0.9
120,103.99,345866.5,0.55
121,138.01,349547.0,0.65
122,127.94,225360.0,0.69
123,124.37,235739.8,0.51
124,184.78,140213.0,0.09
125,121.11,202857.0,0.6
126,129.66,206774.8,0.63
127,100.49,189020.5,0.88
128,119.96,289587.0,0.77
129,160.08,198600.0,0.58
130,126.33,252840.3,0.52
131,141.0,189087.5,0.83
132,145.02,166949.0,0.83
133,131.9,193533.0,0.79
134,113.99,254587.0,0.94
135,119.45,162462.5,0.52
136,137.34,273486.5,0.69
137,130.04,151641.0,0.83
138,116.56,189452.6,0.68
139,136.9,427377.2,0.64
140,113.09,320777.7,0.67
141,95.19,358467.0,0.72
142,125.0,349933.0,0.8
143,129.46,243076.8,0.8
144,137.49,146609.5,0.47
145,99.66,249827.0,0.44
146,139.99,202293.0,0.55
147,117.88,239673.3,0.53
148,76.1,162093.0,0.36
149,154.43,158007.0,0.27
150,134.64,133714.0,0.54
151,91.18,311040.0,0.76
152,105.0,323209.0,0.67
153,117.36,168497.0,0.85
154,126.15,372993.5,0.36
155,127.94,225360.0,0.69
156,149.73,177489.0,0.44
157,130.49,256981.0,0.63
158,137.98,222433.0,0.73
159,121.16,295814.3,0.55
160,146.97,117086.2,0.72
161,142.6,199902.7,0.55
162,102.12,233485.3,0.71
163,117.94,168044.3,0.5
164,125.03,212434.0,0.81
165,129.06,202511.0,0.69
166,119.18,166827.0,0.67
167,78.0,352173.0,0.84
168,137.03,171907.0,0.75
169,113.01,127434.0,0.78
170,125.01,418546.0,0.68
171,133.01,256279.8,0.85
172,127.15,119830.4,0.64
173,125.24,223489.6,0.65
174,109.89,154665.9,0.7
175,103.89,189200.0,0.45
176,131.84,346739.3,0.62
177,114.58,167333.0,0.35
178,99.07,255970.2,0.74
179,125.83,285533.0,0.67
180,122.01,457041.0,0.91
181,140.0,510893.0,0.6
182,138.7,150853.0,0.2
183,138.97,96703.0,0.55
184,192.82,133454.0,0.67
185,128.48,285153.5,0.55
186,154.19,202391.0,0.53
187,150.02,180813.0,0.76
188,82.47,244075.0,0.48
189,114.02,277431.8,0.81
190,127.03,312607.9,0.8
191,68.58,94000.0,0.25
192,134.49,308240.0,0.25
193,77.01,126250.0,0.75
194,94.8,340440.0,0.74
195,129.99,219407.8,0.67
196,99.64,257654.5,0.62
197,119.0,214551.0,0.68
198,132.09,217075.3,0.6
199,115.0,235972.0,0.69
200,95.0,176640.0,0.93
201,124.88,229540.0,0.45
202,87.9,307440.0,0.82
203,125.8,150807.7,0.61
204,95.4,307120.0,0.89
205,135.97,70398.5,0.41
206,120.46,205763.0,0.74
207,133.0,57750.0,0.54
208,113.74,218867.0,0.52
209,107.01,38293.0,0.55
210,125.92,344633.0,0.7
211,147.9,216021.8,0.41
212,115.95,333987.0,0.55
213,119.58,268800.0,0.55
214,147.43,243360.6,0.52
215,100.81,311867.0,0.44
216,138.53,152445.0,0.41
217,119.11,229346.7,0.61
218,119.5,267107.0,0.68
219,84.08,178907.0,0.72
220,123.0,256042.0,0.52
221,101.29,182859.7,0.68
222,122.3,167451.1,0.49
223,120.02,456293.0,0.81
224,170.11,203733.0,0.36
225,156.39,297240.0,0.21
226,126.62,289517.4,0.76
227,127.29,170071.0,0.69
228,95.99,183657.1,0.44
229,95.1,332233.0,0.22
230,98.03,229795.2,0.83
231,132.79,233240.7,0.71
232,133.28,258788.0,0.77
233,123.03,212142.2,0.69
234,125.0,202773.7,0.72
235,123.97,318333.0,0.54
236,132.02,293733.5,0.71
237,130.01,439091.0,0.58
238,130.27,277307.0,0.59
239,105.45,193773.0,0.34
240,115.03,162829.3,0.65
241,111.98,192707.0,0.36
242,123.73,196964.1,0.51
243,145.38,189280.0,0.37
244,111.49,175640.0,0.51
245,107.55,167498.6,0.54
246,115.71,186113.2,0.62
247,114.62,184620.1,0.69
248,140.77,174145.1,0.63
249,105.9,187787.0,0.56
250,123.46,226476.5,0.75
251,139.64,202898.4,0.74
252,149.49,257773.0,0.52
253,134.96,292916.0,0.37
254,92.87,222440.0,0.76
255,110.2,211653.0,0.41
256,111.9,161706.7,0.62
257,117.03,308227.0,0.58
258,117.66,327192.0,0.69
259,150.91,219376.0,0.6
260,83.97,273400.0,0.8
261,136.17,88775.6,0.42
262,122.98,400549.0,0.76
263,119.95,220030.0,0.97
264,122.03,166794.0,0.79
265,136.0,269366.5,0.63
266,122.47,194201.5,0.74
267,122.79,236005.6,0.57
268,123.02,228853.1,0.69
269,98.0,216747.0,0.77
270,132.02,58000.0,0.45
271,191.91,163053.0,0.61
272,120.1,176052.1,0.53
273,125.99,267125.0,0.93
274,129.48,265618.4,0.47
275,120.0,169912.0,0.73
276,142.0,230348.0,0.71
277,119.99,308000.0,0.65
278,126.93,173896.5,0.41
279,125.0,241934.0,0.82
280,66.24,263253.0,0.07
281,160.01,219493.0,0.63
282,91.0,202340.0,0.75
283,109.86,174792.0,0.57
284,81.96,216889.0,0.75
285,112.96,159800.0,0.55
286,113.01,216316.9,0.61
287,96.94,235000.0,0.73
288,120.16,210280.0,0.73
289,100.0,305394.0,0.75
290,121.99,327967.0,0.65
291,119.97,179696.0,0.76
292,176.0,225000.0,0.6
293,127.99,149770.0,0.82
294,121.99,327967.0,0.65
295,178.13,277133.0,0.7
296,87.98,218973.0,0.81
297,128.48,143971.5,0.51
298,101.98,209840.0,0.83
299,150.01,212558.0,0.65
300,115.05,318747.0,0.64
301,116.91,419474.5,0.74
302,113.62,188823.0,0.49
303,136.42,223080.0,0.6
304,120.5,240689.5,0.49
305,118.8,222377.6,0.51
306,149.98,237778.0,0.65
307,75.98,61070.0,0.74
308,130.0,253091.9,0.59
309,106.72,81894.0,0.82
310,156.02,226842.3,0.43
311,138.05,274667.0,0.56
312,130.52,203576.0,0.67
313,117.99,167184.0,0.9
314,123.69,245173.0,0.8
315,89.97,280842.0,0.41
316,141.45,212811.7,0.37
317,130.02,177225.0,0.57
318,128.05,66900.5,0.42
319,125.64,160595.5,0.62
320,106.73,206626.3,0.71
321,119.7,226805.0,0.67
322,99.19,255168.4,0.73
323,98.81,408920.0,0.67
324,135.71,154825.0,0.43
