artist_ID,artist_name
1,(Cats) 1981 Original London Cast
2,(Cats) 1983 Broadway Cast
3,(Fiddler On The Roof” Motion Picture Chorus
4,(Fiddler On The Roof” Motion Picture Orchestra
5,(Joseph And The Amazing Technicolor Dreamcoat) 1991 London Cast
6,(Joseph And The Amazing Technicolor Dreamcoat) 1992 Canadian Cast
7,(Mama) Helen Teagarden
8,(Test for Victor Young)
9,(Weird Al) Yankovic
10,$0dg0d
11,$NOT
12,$atori Zoom
13,$tar$eed
14,$uicideBoy$
15,'In The Heights' Original Broadway Company
16,'Legally Blonde' Ensemble
17,'Til Tuesday
18,((( O )))
19,(Con La Participación de Marc Anthony)
20,(EM)
21,(G)I-DLE
22,(Hed) P.E.
23,*NSYNC
24,*spandrel
25,+44
26,-Sd-
27,...And You Will Know Us by the Trail of Dead
28,.ex-machina.
29,//Tense//
30,015B
31,03 Greedo
32,070 Shake
33,10 Ft. Ganja Plant
34,10 Years
35,10 000 Maniacs
36,100 First Songs' Participants
37,100 gecs
38,101 Strings Orchestra
39,1011 - TEN-ELEVEN
40,10cc
41,11/5
42,112
43,12 Inches A Slave
44,12 Step Rebels
45,12 Stones
46,13th Floor Elevators
47,1422
48,16BL
49,1776 Ensemble
50,1776 Orchestra
51,19 Hz
52,1910 Fruitgum Company
53,1920Johnny
54,1920s to 1950s Acoustic & Electric
55,1927
56,1986 Omega Tribe
57,1Touch
58,2 Brothers On The 4th Floor
59,2 Chainz
60,2 Crows
61,2 Guys n the Parque
62,2 Hyped Brothers & A Dog
63,2 In A Room
64,2 LIVE CREW
65,2 Pistols
66,2 Unlimited
67,2* Sweet
68,2.99 RECORDS
69,20 Fingers
70,20-2-Life
71,20/20
72,2000
73,2000 And One
74,2000 Jr Philadelphia Singers
75,2000 Philadelphia Singers
76,2000 Philadelphia Singers Male Quartet
77,2000F & J Kamata
78,2002
79,2003 Jr Philadelphia Singers
80,2003 Philadelphia Singers
81,2003 Philadelphia Singers Men
82,2003 Philadelphia Singers Quartet
83,2004 Hawaii Music Awards Compilation Of The Year
84,2004 Philadelphia Singers
85,2004 Philadelphia Singers Men
86,2004 Philadelphia Singers Women
87,2005 ทิวา Hula Hula
88,2007 Philadelphia Singers
89,2007 Philadelphia Singers Quartet
90,2008 South Africa
91,2009 Philadelphia Singers
92,2010 Imperial Choraliers
93,2010 Philadelphia Singers
94,2012
95,2013
96,2014 ATHINAIKI DISCOGRAFIKI
97,2017
98,20for7
99,20th Century Fox Studio Orchestra
100,21 Savage
101,22  Little Red  Tangle Eye & Hard Hair
102,24hrs
103,24kGoldn
104,27CLUB
105,2:00AM Wake Up Call
106,2Baba
107,2CELLOS
108,2Glory
109,2KBABY
110,2Loop
111,2NE1
112,2Pac
113,2ReD Suns
114,2Rock
115,2WRAPZ
116,2nClubbers
117,2nd Chapter Of Acts
118,2nd Generation Outlawz
119,2nd II None
120,2nd South Carolina String Band
121,2tone
122,3
123,3 Doors Down
124,3 Years Down
125,3 in One
126,311
127,347aidan
128,35MM: A Musical Exhibition Original Cast
129,36 Crazyfists
130,38 Special
131,3B Glel
132,3BDF Blicky
133,3BallMTY
134,3CE
135,3LAU
136,3LW
137,3M
138,3OH!3
139,3Phazegenerator
140,3T
141,3X Krazy
142,3kStatic
143,3rd Bass
144,3rd Moon
145,3rd Strike
146,4 Elements
147,4 Non Blondes
148,4 P.M.
149,4 Skins
150,4 Strings
151,40 Thevz
152,40 Thieves
153,42 Dugg
154,42nd Street Ensemble
155,45
156,45 Grave
157,4509 STARPASS Prodcutions
158,4D
159,4Him
160,4Tu
161,5 Seconds of Summer
162,50 Cent
163,50 Guitars of Tommy Garrett
164,504 Boyz
165,53A
166,54-40
167,5th Ward Boyz
168,6 Dogs
169,6.9hz
170,69
171,69 Boyz
172,696
173,6LACK
174,6ix9ine
175,7 Seconds
176,7 Skies
177,7 Year Bitch
178,702
179,707
180,72 Soul
181,7AM At Heavens Gate
182,7th Order
183,8 Wonders
184,8-Bit Arcade
185,808 State
186,88-Keys
187,88GLAM
188,88rising
189,8Ball
190,8Ball & MJG
191,8BitAllstars
192,8kHz Mono
193,90sFlav
194,94 East
195,98
196,98º
197,99 Souls
198,999
199,9K Breaks
200,9lokknine
201,9th Street Trio
202,9th Wonder
203,? & The Mysterians
204,?uestlove
205,A & Z
206,A Boogie Wit da Hoodie
207,A Boy Called Joni
208,A Camp
209,A Cautionary Tale
210,A Certain Ratio
211,A Day To Remember
212,A Few Good Men
213,A Fine Frenzy
214,A Flock Of Seagulls
215,A Foot In Coldwater
216,A Force
217,A Great Big World
218,A Guy Called Gerald
219,A Jam Session At Victor
220,A Perfect Circle
221,A R I Z O N A
222,A River of Trees
223,A Rocket In Dub
224,A Rocket To The Moon
225,A Skylit Drive
226,A Taste Of Honey
227,A Touch Of Class
228,A Tree Grows in Brooklyn Ensemble
229,A Tree Grows in Brooklyn Orchestra
230,A Tribe Called Quest
231,A$AP Ferg
232,A$AP Mob
233,A$AP Rocky
234,A*Teens
235,A-Mei Chang
236,A-Trak
237,A-mase
238,A. Caminha
239,A. Jaziukevičius
240,A. L. Lloyd
