genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
21st century classical,0.7546,0.2841,352593.2,0.15958,0.484374,0.16858,-22.1534,0.06206,91.351,0.14338,6.6,4,1
432hz,0.485514667,0.312,1047430.4,0.391678333,0.477250333,0.26594,-18.13126667,0.071716667,118.9009333,0.236483333,41.2,11,1
8-bit,0.0289,0.673,133454,0.95,0.63,0.069,-7.899,0.292,192.816,0.997,0,5,1
[],0.535792702,0.546936986,249531.2446,0.485429891,0.27844201,0.220969504,-11.62475376,0.101510575,116.06898,0.48636112,12.35077007,7,1
a cappella,0.69427644,0.516172162,201839.0719,0.330532535,0.036079902,0.222982794,-12.65654699,0.083627422,105.506031,0.454077064,39.08624783,7,1
abstract,0.411262,0.4736,366098.4,0.4794,0.8414,0.09716,-15.7994,0.0453,142.4954,0.27426,43.8,5,1
abstract beats,0.459,0.669,174867,0.735,0,0.103,-7.264,0.329,117.284,0.723,62,10,1
abstract hip hop,0.297352698,0.725273637,228204.8788,0.726843979,0.099186834,0.268937883,-7.257105392,0.224436884,107.5887732,0.639050868,21.05086561,1,1
abstract idm,0.995,0.174,580533,0.00291,0.931,0.0983,-37.518,0.0399,67.56,0.0328,46,0,1
accordeon,0.59875,0.442,165480,0.314,0.607,0.191675,-12.17425,0.042475,139.8195,0.5115,35.25,2,1
accordion,0.44446875,0.6255,165441.5625,0.37134375,0.193737947,0.16089375,-14.48209375,0.080584375,112.7196875,0.6585625,20.9375,2,1
acid house,0.045358315,0.70091,303980.2,0.762467,0.43149877,0.1808485,-9.505465,0.059125,127.60202,0.57721,32.735,8,0
acid jazz,0.327791111,0.681685185,288994.1667,0.693574074,0.293879519,0.099724074,-8.897722222,0.053007407,112.920037,0.786340741,28.85185185,7,0
acid rock,0.220658856,0.459124026,254073.526,0.594895273,0.160756819,0.229052555,-11.27382881,0.071269334,129.1352784,0.560706927,29.79191362,2,1
acid techno,0.004105233,0.675833333,401250.6667,0.859333333,0.861333333,0.263,-7.938333333,0.1073,131.0135,0.533833333,1.666666667,7,1
acid trance,0.003425,0.545,145366.5,0.8775,0.817,0.1765,-8.289,0.18895,135.381,0.481,40,7,1
acousmatic,0.932794501,0.404181241,241560.7362,0.182684317,0.686387907,0.210917619,-21.22581299,0.075756151,98.76970339,0.216281673,5.658098846,5,1
acoustic blues,0.740819705,0.602674455,201385.4569,0.365927106,0.105188428,0.168647171,-12.52831338,0.067375212,114.6928791,0.635845429,22.23819093,9,1
acoustic chill,1.32E-05,0.393,59531,0.706,5.92E-06,0.873,-5.409,0.0488,128.181,0.155,23,1,1
acoustic guitar cover,0.977,0.397,242160,0.275,0.912,0.119,-17.178,0.0493,168.181,0.499,5,4,0
acoustic pop,0.438117612,0.552802523,232309.1575,0.512679246,0.092907031,0.181124036,-9.426489138,0.046735428,121.1278244,0.392058392,46.74553709,2,1
acoustic punk,0.117353937,0.569395833,204393.8715,0.718586806,0.401007572,0.188726736,-10.46464931,0.069765278,117.2643403,0.549017361,21.55555556,11,1
acoustic rock,0.344261905,0.562047619,205446.8571,0.709428571,0.207952803,0.123307143,-5.970047619,0.062461905,121.9355,0.741057143,42.97619048,8,1
action rock,0.495436833,0.568,181958,0.464166667,0.103000185,0.2085,-11.76433333,0.041833333,106.3988333,0.588666667,0,11,1
adoracao,0.000579,0.645,502291,0.813,0.542,0.0752,-8.556,0.0449,117.013,0.488,0,10,0
adoracion,0.376465429,0.569642857,292687.4286,0.580071429,0.025857143,0.2225,-6.910714286,0.0493,134.9145,0.406142857,42.85714286,7,1
adult standards,0.621559802,0.504302163,200027.8167,0.413897332,0.13105659,0.198680458,-11.83647014,0.058009341,114.2195508,0.499558915,30.15496912,7,1
adventista,0.777946032,0.53231746,202442.6032,0.321793651,7.46E-06,0.13938254,-9.31231746,0.028969841,113.6516508,0.520571429,27.06349206,6,1
afghan pop,0.5017,0.609,320455.1,0.5739,0.00124603,0.08186,-11.054,0.09149,111.3922,0.7716,35.6,1,1
afghan traditional,0.958,0.440333333,278581.3333,0.323666667,0.400706667,0.177666667,-14.49766667,0.146033333,94.06966667,0.710666667,8.333333333,1,1
african gospel,0.554666667,0.635333333,339622,0.83,0.038161667,0.303,-6.063,0.0441,119.58,0.818666667,14,2,1
african percussion,0.243875,0.69825,221829.0417,0.829041667,0.118009483,0.08435,-6.198708333,0.134866667,132.281875,0.613875,7.916666667,8,1
african reggae,0.243389286,0.748535714,265097.6429,0.670642857,0.003500856,0.116635714,-7.299357143,0.061014286,114.7374643,0.768464286,45.42857143,7,1
african rock,0.132827338,0.671541667,239156.4583,0.657,0.093929463,0.166495833,-8.653791667,0.0693,116.9469583,0.646333333,42.66666667,8,1
african-american classical,0.703815758,0.542610813,234094.9843,0.264235647,0.5225139,0.124864556,-17.49010028,0.079623244,119.139,0.382673105,40.87060998,5,1
afrikaans,0.0144,0.371,317427,0.618,0,0.824,-5.468,0.0348,97.898,0.438,14,7,1
afro dancehall,0.271179774,0.636633333,220920.8333,0.675866667,0.005641167,0.183496667,-6.59735,0.129018333,124.9930167,0.61055,26.58333333,1,1
afro house,0.08116867,0.7538,391767.9,0.5834,0.5206984,0.09978,-9.9689,0.09751,126.3624,0.5399,26,10,1
afro psych,0.0766,0.584,403900,0.7705,0.21745,0.176,-10.408,0.04985,118.6075,0.8315,32.5,2,1
afro-funk,0.144945833,0.800125,284760.1667,0.719166667,0.068495475,0.0972,-8.9095625,0.09601875,114.0489583,0.876458333,26.66666667,0,1
afrobeat,0.363670439,0.624053106,316544.386,0.622326146,0.332399482,0.150060968,-9.986289221,0.060526831,115.6241725,0.70621935,38.89801893,0,1
afrofuturism,0.226838611,0.646947481,278800.0082,0.620990135,0.095694601,0.176113935,-9.161819927,0.134490994,113.2240237,0.536404498,47.27261802,7,1
