genre_ID,genre_name
1,21st century classical
2,432hz
3,8-bit
4,[]
5,a cappella
6,abstract
7,abstract beats
8,abstract hip hop
9,abstract idm
10,accordeon
11,accordion
12,acid house
13,acid jazz
14,acid rock
15,acid techno
16,acid trance
17,acousmatic
18,acoustic blues
19,acoustic chill
20,acoustic guitar cover
21,acoustic pop
22,acoustic punk
23,acoustic rock
24,action rock
25,adoracao
26,adoracion
27,adult standards
28,adventista
29,afghan pop
30,afghan traditional
31,african gospel
32,african percussion
33,african reggae
34,african rock
35,african-american classical
36,afrikaans
37,afro dancehall
38,afro house
39,afro psych
40,afro-funk
41,afrobeat
42,afrofuturism
43,afrofuturismo brasileiro
44,afropop
45,afroswing
46,aggrotech
47,alabama indie
48,alabama metal
49,alabama rap
50,alaska indie
51,albanian hip hop
52,albanian pop
53,alberta country
54,alberta hip hop
55,album rock
56,albuquerque indie
57,alternative americana
58,alternative country
59,alternative dance
60,alternative emo
61,alternative hip hop
62,alternative metal
63,alternative pop
64,alternative pop rock
65,alternative r&b
66,alternative rock
67,alternative roots rock
68,amapiano
69,ambeat
70,ambient
71,ambient black metal
72,ambient dub techno
73,ambient folk
74,ambient house
75,ambient idm
76,ambient industrial
77,ambient pop
78,ambient psychill
79,ambient techno
80,ambient trance
81,ambient worship
82,american 21st century classical
83,american choir
84,american classical piano
85,american contemporary classical
86,american early music
87,american folk revival
88,american grindcore
89,american metalcore
90,american modern classical
91,american oi
92,american orchestra
93,american post-rock
94,american primitive
95,american romanticism
96,american shoegaze
97,anadolu rock
98,anarcho-punk
99,anglican liturgy
100,animal singing
101,anime
102,anime latino
103,anime rock
104,anime score
105,ann arbor indie
106,anthem emo
107,anthem worship
108,anti-folk
109,antilliaanse folklore
110,antiviral pop
111,appalachian folk
112,arab alternative
113,arab electronic
114,arab folk
115,arab groove
116,arab pop
117,arabesk
118,arabic hip hop
119,arabic jazz
120,argentine ambient
121,argentine heavy metal
122,argentine hip hop
123,argentine indie
124,argentine metal
125,argentine punk
126,argentine reggae
127,argentine rock
128,argentine telepop
129,arizona punk
130,arkansas country
131,arkansas hip hop
132,armenian folk
133,art pop
134,art punk
135,art rock
136,art song
137,asbury park indie
138,asian american hip hop
139,asmr
140,assyrian pop
141,athens indie
142,atl hip hop
143,atl trap
144,atlanta indie
145,atlanta metal
146,atlanta punk
147,atmosphere
148,atmospheric black metal
149,atmospheric dnb
150,atmospheric post-metal
151,atmospheric post-rock
152,atmospheric sludge
153,auckland indie
154,audiophile vocal
155,aussie emo
156,aussietronica
157,austin americana
158,austin singer-songwriter
159,austindie
160,australian alternative pop
161,australian alternative rock
162,australian ambient
163,australian americana
164,australian black metal
165,australian children's music
166,australian classical
167,australian classical piano
168,australian country
169,australian dance
170,australian electropop
171,australian garage punk
172,australian hip hop
173,australian house
174,australian indie
175,australian indie folk
176,australian indigenous
177,australian metal
178,australian metalcore
179,australian pop
180,australian post-hardcore
181,australian post-punk
182,australian psych
183,australian r&b
184,australian reggae fusion
185,australian rock
186,australian singer-songwriter
187,australian ska
188,australian talent show
189,australian trap
190,australian underground hip hop
191,austrian choir
192,austrian classical piano
193,austrian orchestra
194,austrian punk
195,austrian techno
196,austro-german modernism
197,auteur-compositeur-interprete quebecois
198,autoharp
199,autonomous black metal
200,avant-garde
201,avant-garde jazz
202,avant-garde metal
203,axe
204,azeri traditional
205,azonto
206,azontobeats
207,bachata
208,bachata dominicana
209,background jazz
210,background music
211,background piano
212,baglama
213,bahai
214,bahamian folk
215,bahamian pop
216,baiao
